Retention Code,Food Group Code,Retention Description,Calcium Ca,Iron Fe,Magnesium Mg,Phosphorus P,Potassium K,Sodium Na,Zinc Zn,Copper Cu,Vitamin C total ascorbic acid,Thiamin,Riboflavin,Niacin,Vitamin B-6,Folate food,Folic acid,Folate total,Choline total,Vitamin B-12,Vitamin A IU,Vitamin A RE,Alcohol ethyl,Carotene beta,Carotene alpha,Cryptoxanthin beta,Lycopene,Lutein + zeaxanthin
1,01,CHEESE BAKED,100,100,100,100, 100,100,100,100,65,75,100,100,75,80,80,80,75,55, 100, 100,100,100,100,100,100.0,100.0
3,01,CHEESE BROILED,100,100,100,100, 100,100,100,100,65,75,100,100,75,80,80,80,75,55, 100, 100,100,100,100,100,100.0,100.0
5,01,CHEESE COOKED W/LIQUID,100,100,100,100,100,100,100,100,65,75,100,100,75,80,80,80,75,55,100, 100 ,100,100,100,100,100.0,100.0
7,01,CHEESE REHEATED,100,100,100,100, 100,100,100,100,95,95,100,100,95,95,95,95,95,95, 100, 100,100,100,100,100,100.0,100.0
101,01,EGGS BAKED,100,100,100,100, 100,100,100,100,80,80,95,90,95,75,75,75,80,80, 100, 100,100,100,100,100,100.0,100.0
103,01EGGS FRIED SCRAMBLED,100,100,100,100,100, 100 ,100,100,80,85,95,95,95,75,75,75,85,85,100, 100, 100,100,100,100,100,100.0,100.0
105,01,EGGSHARD COOKED,100,100,100,100, 100,100,100,100,80,85,95,95,95,75,75,75,80,85, 100, 100,100,100,100,100,100.0,100.0
107,01,EGGSPOACHED,100,100,100,100, 100,100,100,100,80,80,85,85,85,75,75,75,80,80, 100, 100,100,100,100,100,100.0,100.0
109,01,EGGSREHEATED,100,100,100,100,100 ,100,100,100,95,95,100,100,95,95,95,95,85,95,100 ,100 ,100,100,100,100,100.0,100.0
2151,01,MILKHEATED APPROX 10MIN,100,100,100,100,100 ,100,100,100,85,90,100,100,90,85,85,85,90,80,100,100 ,100,100,100,100,100.0,100.0
2152,01,MILKHEATED APPROX 30MIN,100,100,100,100,100 100 ,100,100,65,75,100,100,75,80,80,80,75,55,100,100 ,100 ,100,100,100,100,100.0,
2153,01,MILK HEATED APPROX 1 HOUR,100,100,100,100,100 ,100,100,100,45,60,100,100,55,70,70,70,60,30,100 100 ,100 100 ,100,100,100,100,,
2154,01,MILKREHEATED,100,100,100,100,100 ,100,100,100,95,95,100,100,95,95,95,95,95,95,100 ,100 ,100,100,100,100,100.0,100.0
801,05,CHICKENBROILED,95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75 ,100,75,75,75,75.0,75.0
803,05,CHICKENFRIEDWO/COATING,95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75 ,100,75,75,75,75.0,75.0
804,05,CHICKENFRIEDW/COATING,95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75 ,100,75,75,75,75.0,75.0
805,05,CHICKENROASTED,95,90,75,80,80,80,100,95,80,70,90,80,80,60,60,60,70,65,75,75 ,100,75,75,75,75.0,75.0
851,05,CHICKENBROWNSIMMERWO/DRIPPINGS,80,90,65,70,60,70,100,90,80,55,95,60,50,60,60,60,70,50,75,75 ,100,75,75,75,75.0,75.0
852,05,CHICKENBROWNSIMMERW/DRIPPINGS,100,100,100,100,100 ,100,100,100,85,75,100,95,65,70,70,70,70,65,80,80,80,100,80,80,80.0,
855,05,CHICKENSIMMEREDWO/DRIPPINGS,80,90,65,70,60,70,100,90,80,55,95,60,50,60,60,60,70,5075,75 ,100,75,75,75,75,75.0,
856,05,CHICKENSIMMEREDW/DRIPPINGS,100,100,100,100,100 ,100,100,100,85,75,100,95,65,70,70,70,70,65,80,80 ,100,80,80,80,80.0,80.0
864,05,CHICKENREHEATED,100,100,100,100,100 ,100,100,100,95,95,100,100,95,95,95,95,70,95,100 ,100 ,100,100,100,100,100.0,100.0
1805,05,TURKEYROASTED,100,95,80,80,75,75,100,70,80,65,85,90,70,60,60,60,70,65,75,75 ,100,75,75,75,75.0,75.0
1851,05,TURKEYSIMMEREDWO/DRIPPINGS,85,95,65,70,55,70,100,95,80,55,95,60,50,60,60,60,70,50,75,75 ,100,75,75,75,75.0,75.0
1852,05,TURKEYSIMMEREDW/DRIPPINGS,100,100,100,100,100 ,100,100,100,85,75,100,95,70,70,70,70,70,70,80,80 ,100,80,80,80,80.0,80.0
1860,05,TURKEYREHEATED,100,100,100,100,100 ,100,100,100,95,95,100,100,95,95,95,95,70,95,100 ,100 ,100,100,100,100,100.0,100.0
351,08,OATMEALINSTCOOKED,100,100,100,100,100 ,100,100,100,90,90,95,95,100,100,100,100,100,100,100 ,100 ,100,100,100,100,100.0,100.0
352,08,OATMEALREG/QUICKCOOKED,100,95,100,95,95 ,100,100,95,80,80,90,90,90,70,70,70,100,100,90,90 ,100,90,90,90,90.0,90.0
357,08,CEREALINSTCOOKED,100,100,100,100,100 ,100,100,100,90,90,95,95,100,100,100,100,100,100,100 ,100 ,100,100,100,100,100.0,100.0
358,08,CEREALREG/QUICKCOOKED,100,95,100,95,95 ,100,100,95,80,80,90,90,90,70,70,70,100,100,90,90 ,100,90,90,90,90.0,90.0
151,09,FRUITSFRESH(NOT CITRUS)BAKED,95,100,100,100,90 ,100,100,90,80,80,95,90,95,60,60,60,100,100,85,85 ,100,85,85,85,85.0,85.0
