date_time,bike_count,place
2020-06-29 20:29:07,4,"River Street , Clerkenwell"
2020-06-29 22:47:34,24,"Phillimore Gardens, Kensington"
2020-06-29 19:20:57,9,"Christopher Street, Liverpool Street"
2020-06-29 23:46:41,10,"St. Chad's Street, King's Cross"
2020-06-29 22:27:31,0,"Sedding Street, Sloane Square"
2020-06-29 23:27:38,2,"Broadcasting House, Marylebone"
2020-06-30 00:25:43,12,"Charlbert Street, St. John's Wood"
2020-06-30 02:07:50,38,"Maida Vale, Maida Vale"
2020-06-29 23:03:35,0,"New Globe Walk, Bankside"
2020-06-29 20:19:06,4,"Park Street, Bankside"
2020-06-29 23:19:37,2,"Brunswick Square, Bloomsbury"
2020-06-29 21:32:20,3,"Malet Street, Bloomsbury"
2020-06-30 00:15:43,3,"Scala Street, Fitzrovia"
2020-06-29 22:22:29,15,"Belgrove Street , King's Cross"
2020-06-29 21:21:14,2,"Great Russell Street, Bloomsbury"
2020-06-30 00:09:41,5,"Cartwright Gardens , Bloomsbury"
2020-06-30 03:27:04,5,"Hatton Wall, Holborn"
2020-06-30 01:13:49,9,"Drury Lane, Covent Garden"
2020-06-29 21:10:13,7,"Taviton Street, Bloomsbury"
2020-06-29 20:31:08,23,"Drummond Street , Euston"
2020-06-30 00:04:43,4,"Northington Street , Holborn"
2020-06-29 23:07:37,1,"Red Lion Square, Holborn"
2020-06-29 21:10:13,6,"British Museum, Bloomsbury"
2020-06-29 22:25:31,28,"Doric Way , Somers Town"
2020-06-30 00:56:49,11,"Ampton Street , Clerkenwell"
2020-06-29 21:47:21,0,"Bouverie Street, Temple"
2020-06-30 02:41:58,3,"Bolsover Street, Fitzrovia"
2020-06-29 22:52:34,6,"Hereford Road, Bayswater"
2020-06-30 00:56:49,21,"Windsor Terrace, Hoxton"
2020-06-29 21:25:14,19,"Fanshaw Street, Hoxton"
2020-06-29 22:26:31,4,"Leonard Circus , Shoreditch"
2020-06-29 22:37:31,12,"Central House, Aldgate"
2020-06-29 23:13:39,8,"Pancras Road, King's Cross"
2020-06-29 23:19:37,5,"De Vere Gardens, Kensington"
2020-06-30 03:04:02,13,"Penywern Road, Earl's Court"
2020-06-29 23:49:38,9,"Abingdon Villas, Kensington"
2020-06-29 23:51:40,8,"Shoreditch High Street, Shoreditch"
2020-06-29 20:15:04,10,"Commercial Street, Shoreditch"
2020-06-29 20:33:08,0,"Pindar Street, Liverpool Street"
2020-06-29 21:17:14,9,"Wenlock Road , Hoxton"
2020-06-30 01:13:49,11,"Crawford Street, Marylebone"
2020-06-29 19:04:56,1,"Bruton Street, Mayfair"
2020-06-29 20:19:06,7,"Boston Place, Marylebone"
2020-06-29 21:53:24,14,"Nesham Street, Wapping"
2020-06-30 00:56:49,16,"Warwick Avenue Station, Maida Vale"
2020-06-30 01:08:49,2,"Godliman Street, St. Paul's"
2020-06-29 20:48:10,0,"Curzon Street, Mayfair"
2020-06-29 21:51:23,0,"East Road, Hoxton"
2020-06-29 21:21:14,22,"Finsbury Library , Finsbury"
2020-06-30 00:30:43,11,"Roscoe Street, St. Luke's"
2020-06-29 18:26:46,0,"Grafton Street, Mayfair"
2020-06-29 23:27:38,5,"Golden Lane, Barbican"
2020-06-29 21:02:12,6,"Finsbury Circus, Liverpool Street"
2020-06-30 01:08:49,7,"Paddington Street, Marylebone"
2020-06-29 22:19:30,0,"Guilford Street , Bloomsbury"
2020-06-29 20:55:10,0,"New Inn Yard, Shoreditch"
2020-06-29 19:24:58,8,"Lisson Grove, St. John's Wood"
2020-06-29 21:45:20,29,"Great Dover Street, The Borough"
2020-06-29 22:09:30,10,"Cotton Garden Estate, Kennington"
2020-06-29 23:18:37,13,"Murray Grove , Hoxton"
2020-06-30 00:02:42,16,"William IV Street, Strand"
2020-06-29 23:04:35,0,"Holborn Circus, Holborn"
2020-06-29 22:06:27,3,"Hatton Garden, Holborn"
2020-06-29 19:47:01,1,"Theobald's Road , Holborn"
2020-06-30 00:15:43,0,"Euston Road, Euston"
2020-06-30 01:01:47,2,"Calshot Street , King's Cross"
2020-06-29 22:12:29,1,"Newgate Street , St. Paul's"
2020-06-30 02:27:57,13,"Farringdon Lane, Clerkenwell"
2020-06-29 23:51:40,2,"Old Street Station, St. Luke's"
2020-06-30 02:08:55,13,"Vauxhall Cross, Vauxhall"
2020-06-30 00:43:47,5,"Torrens Street, Angel"
2020-06-30 00:59:49,1,"Longford Street, The Regent's Park"
2020-06-29 23:31:39,3,"Russell Square Station, Bloomsbury"
2020-06-29 23:27:38,6,"Sadlers Sports Centre, Finsbury"
2020-06-29 20:58:11,10,"Arundel Street, Temple"
2020-06-30 00:56:49,26,"Webber Street , Southwark"
2020-06-30 02:41:58,5,"Great Titchfield Street, Fitzrovia"
2020-06-29 20:15:04,0,"Chancery Lane, Holborn"
2020-06-30 02:59:01,1,"Panton Street, West End"
2020-06-29 19:29:59,0,"Breams Buildings, Holborn"
2020-06-29 20:44:08,38,"Tanner Street, Bermondsey"
2020-06-29 21:34:19,10,"Sancroft Street, Vauxhall"
2020-06-30 00:18:43,1,"Devonshire Square, Liverpool Street"
2020-06-29 22:27:31,1,"Bayley Street , Bloomsbury"
2020-06-29 23:54:39,11,"Tavistock Place, Bloomsbury"
2020-06-29 19:26:59,4,"Harrington Square 1, Camden Town"
2020-06-29 22:27:31,19,"Walnut Tree Walk, Vauxhall"
2020-06-29 23:52:41,25,"Borough Road, Elephant & Castle"
2020-06-29 21:29:19,18,"Cloudesley Road, Angel"
2020-06-30 00:21:44,25,"Bricklayers Arms, Borough"
2020-06-29 21:59:24,17,"Falkirk Street, Hoxton"
2020-06-30 01:02:48,11,"Gloucester Road (North), Kensington"
2020-06-29 23:38:38,4,"Hampstead Road, Euston"
2020-06-29 21:17:14,0,"Old Quebec Street, Marylebone"
2020-06-30 00:26:44,4,"Albert Embankment, Vauxhall"
2020-06-29 23:23:38,5,"Queen Street 1, Bank"
2020-06-29 23:02:35,3,"Jewry Street, Aldgate"
2020-06-30 00:56:49,13,"Vicarage Gate, Kensington"
2020-06-29 23:42:38,23,"Crosswall, Tower"
2020-06-29 23:11:35,21,"Westbourne Grove, Bayswater"
2020-06-29 21:53:24,0,"Woodstock Street, Mayfair"
2020-06-30 03:15:03,16,"Finsbury Leisure Centre, St. Luke's"
2020-06-29 20:29:07,0,"Abbey Orchard Street, Westminster"
2020-06-30 03:26:04,11,"Soho Square , Soho"
2020-06-29 21:46:22,11,"Wellington Road, St. John's Wood"
2020-06-29 21:31:18,27,"Park Lane , Hyde Park"
2020-06-29 19:37:01,0,"Stonecutter Street, Holborn"
2020-06-29 22:39:32,10,"Gloucester Road (Central), South Kensington"
